Rnum,Run,motion,counter,Task
R3891,2,0.73629,2.635574,WM
R3891,2,0.205607,5.420816,WM
R3891,2,0.143223,0.0,WM
R3891,2,0.0922088,2.58514,WM
R3111,1,0.0294345,0.0,WM
R3111,1,0.0419855,2.385436,WM
R3111,1,0.0203429,0.0,WM
R3111,1,0.0158906,2.785822,WM
R3111,1,0.0171999,5.571046,WM
R3111,1,0.0379534,0.0,WM
R3111,1,0.0422122,2.535006,WM
R3111,1,0.0422122,5.2619679999999995,WM
R3111,1,0.0240106,0.0,WM
R3111,1,0.0240106,2.585139,WM
R3111,1,0.0435001,0.0,WM
R3111,1,0.014605,2.535434,WM
R3111,1,0.058329,0.0,WM
R3111,1,0.0266847,2.435041,WM
R3111,1,0.0295071,0.0,WM
R3111,1,0.0323914,2.835878,WM
R3111,1,0.0182398,0.0,WM
R4505,2,0.174576,0.0,WM
R4505,2,0.0970299,2.6248810000000002,WM
R4505,2,0.0970299,5.099799,WM
R4505,2,0.101545,0.0,WM
R4505,2,0.0388483,2.5249960000000002,WM
R4505,2,0.226886,0.0,WM
R4505,2,0.116601,2.5749060000000004,WM
R4505,2,0.0613697,0.0,WM
R4505,2,0.110249,2.674836,WM
R4505,2,0.110249,5.249839,WM
R4505,2,0.635444,0.0,WM
R4505,2,0.186586,2.375013,WM
R4505,2,0.0750876,0.0,WM
R4505,2,0.0343518,2.5249770000000002,WM
R4505,2,0.0412371,4.99967,WM
R4505,2,0.0384225,7.774835,WM
R4505,2,0.0698781,0.0,WM
R4505,2,0.019499,2.374988,WM
R4505,2,0.0863832,0.0,WM
R4505,2,0.0508082,2.574946,WM
R4487,1,0.0483276,0.0,WM
R4487,1,0.0112969,2.67513,WM
R4487,1,0.0132584,0.0,WM
R4487,1,0.0346273,2.7249239999999997,WM
R4487,1,0.0259047,0.0,WM
R4487,1,0.0124223,2.525335,WM
R4487,1,0.0201987,4.699816,WM
R4487,1,0.0201987,7.224952,WM
R4487,1,0.0198357,0.0,WM
R4487,1,0.0198357,2.425118,WM
R4487,1,0.0287767,0.0,WM
R4487,1,0.0287767,2.4748799999999997,WM
R4487,1,0.021828,5.149735,WM
R4487,1,0.0212809,0.0,WM
R4487,1,0.0425788,2.775131,WM
R4487,1,0.027912,0.0,WM
R4487,1,0.0154296,2.4247769999999997,WM
R4487,1,0.0302704,0.0,WM
R4487,1,0.0258376,2.4246939999999997,WM
R4268,2,0.118765,0.0,WM
R4268,2,0.299191,2.525061,WM
R4268,2,0.0492514,5.0001549999999995,WM
R4268,2,0.125963,0.0,WM
R4268,2,0.0507677,2.824891,WM
R4268,2,0.0430788,0.0,WM
R4268,2,0.0823263,2.424797,WM
R4268,2,0.0497316,0.0,WM
R4268,2,0.0243805,2.7751989999999997,WM
R4268,2,0.0243805,5.099921999999999,WM
R4268,2,0.0296632,0.0,WM
R4268,2,0.0276377,2.875231,WM
R4268,2,0.599522,0.0,WM
R4268,2,0.462004,2.52487,WM
R4268,2,0.24477,0.0,WM
R4268,2,0.108325,2.725031,WM
R4268,2,0.0557818,0.0,WM
R4258,2,0.0737172,0.0,WM
R4258,2,0.0476907,2.528319,WM
R4258,2,0.239229,0.0,WM
R4258,2,0.143012,2.57862,WM
R4258,2,0.0579211,0.0,WM
R4258,2,0.0250783,2.8288640000000003,WM
R4258,2,0.0301477,5.307274,WM
R4258,2,0.0448927,7.894293,WM
R4258,2,0.0663579,0.0,WM
R4258,2,0.0663579,2.2782750000000003,WM
R4258,2,0.063283,5.006972,WM
R4258,2,0.0513053,7.785738,WM
R4258,2,0.834977,0.0,WM
R4258,2,0.160163,2.278283,WM
R4258,2,0.142342,0.0,WM
R4258,2,0.0278491,2.728767,WM
R4258,2,0.0312172,0.0,WM
R4258,2,0.0291372,2.420341,WM
R4258,2,0.0589281,0.0,WM
R4497,3,0.0180716,0.0,WM
R4497,3,0.027054,2.5785839999999998,WM
R4497,3,0.0228828,0.0,WM
R4497,3,0.0218647,2.528315,WM
R4497,3,0.0117825,4.957084,WM
R4497,3,0.0290072,0.0,WM
R4497,3,0.0111597,2.678505,WM
R4497,3,0.029362,0.0,WM
R4497,3,0.0297012,2.878795,WM
R4497,3,0.0297012,5.557491,WM
R4497,3,0.0292158,0.0,WM
R4497,3,0.0292158,2.628485,WM
R4497,3,0.0186435,0.0,WM
R4497,3,0.0185443,2.520581,WM
R4497,3,0.0207374,0.0,WM
R4497,3,0.0169603,2.578642,WM
R4497,3,0.0115319,0.0,WM
R4497,3,0.0149453,2.7785889999999998,WM
R4497,3,0.0169786,5.457594,WM
R4505,3,0.0375691,0.0,WM
R4505,3,0.063927,2.2748079999999997,WM
R4505,3,0.0809117,0.0,WM
R4505,3,0.0498097,2.5750409999999997,WM
R4505,3,0.0476262,0.0,WM
R4505,3,0.0580852,2.7251019999999997,WM
R4505,3,0.0580852,5.400055,WM
R4505,3,0.0597965,8.024875999999999,WM
R4505,3,0.0501867,0.0,WM
R4505,3,0.0456535,2.3746549999999997,WM
R4505,3,0.0591376,0.0,WM
R4505,3,0.101871,2.7748519999999997,WM
R4505,3,0.0567566,5.449643999999999,WM
R4505,3,0.115181,7.874729,WM
R4505,3,0.0517637,0.0,WM
R4505,3,0.0745442,2.7251879999999997,WM
R4505,3,0.647969,5.0499220000000005,WM
R4505,3,0.732702,0.0,WM
R4505,3,0.187319,2.5748379999999997,WM
R4505,3,0.0914526,0.0,WM
R4482,4,0.0446188,0.0,WM
R4482,4,0.0523944,2.3246279999999997,WM
