Rnum,Run,motion,counter,Task
R4661,2,0.0676817,2.5248239999999997,CRT
R4661,2,0.0340714,0.0,CRT
R4661,2,0.0980844,2.6247819999999997,CRT
R4661,2,0.0294189,0.0,CRT
R3380,3,0.0221223,0.0,CRT
R3380,3,0.014618,2.626928,CRT
R3380,3,0.0193872,0.0,CRT
R3380,3,0.011234,2.626776,CRT
R3380,3,0.0161559,5.153401,CRT
R3380,3,0.00714817,0.0,CRT
R3380,3,0.00714817,2.476673,CRT
R3380,3,0.0144264,5.153536,CRT
R3380,3,0.0613361,0.0,CRT
R3380,3,0.0613361,2.576735,CRT
R3380,3,0.0192642,0.0,CRT
R3380,3,0.0192642,2.4767330000000003,CRT
R3380,3,0.0123578,0.0,CRT
R3380,3,0.0123578,2.526774,CRT
R3380,3,0.0208027,0.0,CRT
R3380,3,0.0208027,2.3265320000000003,CRT
R3380,3,0.0159361,5.203641,CRT
R3380,3,0.0217881,0.0,CRT
R4610,4,0.0823901,0.0,CRT
R4610,4,0.123275,2.6251369999999996,CRT
R4610,4,0.131067,0.0,CRT
R4610,4,0.0776256,2.5250749999999997,CRT
R4610,4,0.0907228,5.149722,CRT
R4610,4,0.0388193,7.574477,CRT
R4610,4,0.0664153,0.0,CRT
R4610,4,0.0664153,2.5251289999999997,CRT
R4610,4,0.034773,0.0,CRT
R4610,4,0.0314314,2.9249549999999997,CRT
R4610,4,0.164754,5.399552,CRT
R4610,4,0.060371,0.0,CRT
R4610,4,0.0725398,2.775098,CRT
R4610,4,0.0490688,5.149934,CRT
R4610,4,0.0398989,0.0,CRT
R4610,4,0.0591801,2.825059,CRT
R4610,4,0.0428387,5.350061,CRT
R4610,4,0.0513378,7.774509999999999,CRT
R4610,4,0.0890921,0.0,CRT
R4610,4,0.0890856,2.474814,CRT
R4610,4,0.0468509,0.0,CRT
R4610,4,0.105499,2.52495,CRT
R4508,4,0.0593919,0.0,CRT
R4508,4,0.0441371,2.775098,CRT
R4508,4,0.148568,0.0,CRT
