Gradient1,Gradient2,Gradient3
0.01148808356,0.1373848161,-0.308248809
0.00924867719,0.1106039845,-0.2481609501
0.007161270126,0.08564089633,-0.1921515426
0.01229495469,0.1470341046,-0.3298988121
0.01079509844,0.1290974777,-0.2896545988
0.01123501861,0.1343584378,-0.3014585573
0.01028371358,0.1229818783,-0.2759330952
0.005732541639,0.06855487883,-0.1538158315
0.005324398699,0.06367393886,-0.14286452
0.009593353249,0.1147259295,-0.2574093132
0.009171558823,0.1096817335,-0.2460917057
0.007241932668,0.08660553187,-0.1943158842
0.01435587946,0.1716804926,-0.3851976432
0.008984015152,0.107438917,-0.2410595224
0.007211681458,0.08624376025,-0.1935041816
0.005361708388,0.06412012149,-0.1438656154
0.01154636769,0.1380818299,-0.3098126913
0.004919731275,0.05883456265,-0.1320064647
0.004120067766,0.04927146874,-0.1105498555
0.0161544509,0.1931894241,-0.4334569975
0.006050906627,0.07236217303,-0.1623582161
0.004710183242,0.05632859955,-0.1263838627
0.01009268322,0.120697365,-0.2708073579
0.00640877934,0.07664193627,-0.1719606742
0.004210150555,0.05034875948,-0.1129669609
0.004029806713,0.04819204605,-0.1081279666
0.006707288301,0.08021177424,-0.1799702804
0.006111055978,0.0730814932,-0.1639721469
0.007728912469,0.09242927307,-0.2073825488
0.007291127864,0.08719385189,-0.1956358916
0.005453574352,0.06521873745,-0.1463305678
0.01725910621,0.206399885,-0.4630971639
0.005421184852,0.06483139498,-0.1454614917
0.007001456341,0.0837296999,-0.1878634119
0.002586425142,0.03093079368,-0.06939908347
0.0119091311,0.1424200804,-0.3195463765
0.006755274197,0.08078563304,-0.1812578411
0.004782014527,0.05718762235,-0.1283112428
-0.002931185879,-0.03505375199,0.07864971997
0.005858502108,0.07006122688,-0.1571956084
0.001217350977,0.01455817572,-0.03266401962
0.003724863128,0.04454525679,-0.09994570545
0.004239229736,0.05069651448,-0.1137472149
0.003539831438,0.04233248173,-0.09498092601
0.003482083296,0.04164187784,-0.09343142572
0.01390099046,0.1662405222,-0.3729920407
0.003978616681,0.04757986985,-0.1067544335
0.004604167427,0.05506076698,-0.1235392403
0.01429443673,0.1709457068,-0.3835490124
0.006400251707,0.07653995514,-0.1717318599
-0.0008757844696,-0.01047341678,0.02349909068
0.00561005517,0.06709007583,-0.1505292694
0.01011464989,0.1209600623,-0.2713967687
0.007195014911,0.08604444712,-0.1930569849
0.01291080836,0.154399036,-0.3464234284
0.00243019813,0.02906249055,-0.06520719223
0.004723384602,0.05648647281,-0.126738081
0.008891819002,0.1063363533,-0.2385857127
0.009107608023,0.1089169523,-0.2443757743
0.009222883413,0.1102955191,-0.2474688494
0.009486304139,0.1134457402,-0.254536966
0.001977494556,0.02364865502,-0.0530602286
0.006068588792,0.07257363215,-0.1628326645
0.004306034597,0.05149542694,-0.1155397261
0.003952258517,0.04726465519,-0.1060471898
0.01389518272,0.1661710673,-0.3728362061
0.0009455196724,0.011307373,-0.02537022913
0.01682025888,0.2011517538,-0.4513219899
-0.001315346516,-0.01573009433,0.03529344055
0.001907869957,0.02281602163,-0.05119205812
0.004194805985,0.05016525561,-0.1125552354
0.01364090832,0.1631302277,-0.3660135077
0.008731484566,0.1044189303,-0.2342836116
0.02309257445,0.2761617343,-0.6196210614
0.005950179793,0.07115759152,-0.1596555098
0.008806968869,0.1053216397,-0.2363090108
0.007123363838,0.08518757926,-0.1911344398
0.004176407264,0.04994522714,-0.1120615598
0.004146488838,0.04958743541,-0.1112587864
0.01740754751,0.2081750787,-0.4670801467
0.008374078848,0.1001447518,-0.2246936838
0.004686637331,0.05604701638,-0.1257520776
0.005266171668,0.06297760814,-0.1413021706
0.004007117316,0.0479207059,-0.1075191637
0.01409918049,0.168610657,-0.3783098866
0.01014174339,0.1212840712,-0.2721237438
0.003455842848,0.04132807075,-0.09272734022
0.0006236160712,0.007457760752,-0.01673289622
0.01019492066,0.1219200118,-0.2735505969
0.003185048337,0.03808966718,-0.08546136969
0.01078834443,0.1290167071,-0.2894733745
0.006034802935,0.07216959078,-0.1619261213
0.01640049261,0.1961318129,-0.4400588031
0.009554783681,0.1142646802,-0.2563744132
0.01144941824,0.1369224203,-0.307211337
0.007804262603,0.0933303776,-0.2094043474
0.008439715863,0.1009296979,-0.2264548593
0.01106196057,0.1322888546,-0.2968150559
0.006589144256,0.07879890198,-0.1768002344
0.006324533096,0.07563444421,-0.1697001751
0.008232212174,0.09844818247,-0.2208871101
0.005735229655,0.06858702467,-0.1538879571
0.007637733207,0.09133886899,-0.2049360212
0.005519059144,0.0660018635,-0.1480876593
0.01163620276,0.1391561587,-0.3122231507
0.004263177825,0.05098290738,-0.1143897915
0.008605427899,0.1029114311,-0.2309012527
0.01046371197,0.1251344606,-0.2807628204
0.009267118896,0.1108245266,-0.248655778
0.001075776444,0.01286510038,-0.02886528501
0.005225328574,0.0624891694,-0.1402062658
0.006110769191,0.07307806369,-0.1639644519
0.008935630415,0.1068602897,-0.2397612631
0.005655344636,0.0676316878,-0.151744478
0.01035334492,0.123814592,-0.2778014454
-0.0006079678222,-0.007270624961,0.0163130217
0.005400965351,0.06458959197,-0.1449189608
0.007147832588,0.08548019869,-0.1917909867
0.01394994174,0.1668259259,-0.3743055054
0.003763901969,0.04501211821,-0.1009931973
0.008045118516,0.09621074874,-0.2158670045
0.01531114731,0.1831044434,-0.4108294366
-1.395295905E-05,-0.0001668620086,0.0003743864637
0.006052156508,0.07237712039,-0.1623917533
0.003065690079,0.03666227404,-0.08225874312
0.001987668728,0.02377032684,-0.05333322237
0.003194398396,0.03820148343,-0.08571225041
0.01101079702,0.1316769948,-0.2954422325
0.00707415565,0.08459910337,-0.1898140828
0.008398953214,0.1004422221,-0.2253611148
0.009393213941,0.1123324841,-0.2520391659
0.00836948648,0.1000898316,-0.2245704603
0.007377412665,0.08822572279,-0.1979510893
0.01047594634,0.1252807703,-0.2810910941
0.01356533359,0.1622264363,-0.3639856806
0.01265600658,0.1513518875,-0.3395865742
0.007938385324,0.0949343374,-0.2130031346
0.008562755135,0.1024011125,-0.2297562559
0.008244040859,0.09858964117,-0.2212044994
0.001492009384,0.01784278762,-0.04003366742
0.007576052873,0.09060124059,-0.2032810126
