Participant,Offtask,Ontask,DecreasingNT,DecreasingTT
01_R3262,0.0549186958,-0.0549186958,-0.008632053811,0.07295297421
02_R3678,0.04200615915,-0.04200615915,-0.006117023788,0.06731430874
03_R2595,0.01946910112,-0.01946910112,0.02932567136,-0.05290676615
04_R4052,-0.004464648074,0.004464648074,-0.004102090257,-0.008897943302
05_R4167,0.06145746554,-0.06145746554,-0.07706507666,0.07715318638
06_R4047,0.0002201146792,-0.0002201146792,-0.03168161446,0.01823263195
07_R3884,0.03705159991,-0.03705159991,-0.05424982302,-0.0258764533
08_R3946,0.03354441182,-0.03354441182,-0.01337934352,0.03777045231
09_R4053,-0.04987657567,0.04987657567,0.07998359688,0.001304885302
11_R4140,0.1358907792,-0.1358907792,0.02140430158,0.03517101244
13_R4302,0.1399798436,-0.1399798436,-0.1238732966,-0.001751057432
14_R4275,-0.002116767912,0.002116767912,-0.004960601024,0.07779099593
16_R4307,0.1016869937,-0.1016869937,0.03313858016,-0.0209774283
17_R4220,-0.01676844305,0.01676844305,-0.05435558735,0.1053743552
18_R4007,0.005802786851,-0.005802786851,0.09850424442,-0.01707910847
20_R3773,0.05324209759,-0.05324209759,0.0404689807,0.0731877753
21_R4239,0.01796435515,-0.01796435515,-0.1168468276,-0.02581462128
22_R3557,0.08411625539,-0.08411625539,0.03378221826,-0.03323823784
23_R3111,-0.04090429053,0.04090429053,-0.02473702238,-0.006888009444
24_R4236,0.05055531504,-0.05055531504,-0.01192749393,-0.02920868505
25_R4088,-0.001493363529,0.001493363529,0.01559675047,0.02180305771
26_R4204,-0.05684359674,0.05684359674,-0.09378795547,-0.05227328295
27_R4065,0.02123437756,-0.02123437756,0.0369607127,0.112807334
28_R4131,-0.01908382723,0.01908382723,0.01556411457,0.04467982416
30_R4222,0.07175180901,-0.07175180901,0.0339386475,0.07897593073
31_R4165,-0.04097357566,0.04097357566,-0.02489940882,-0.03241613981
32_R4315,0.08030520247,-0.08030520247,0.01826859967,0.07405341191
33_R3380,-0.003598500857,0.003598500857,-0.0832039792,0.04355402541
34_R3385,0.04344139667,-0.04344139667,-0.06810507377,0.02067256467
35_R4505,0.01001109709,-0.01001109709,0.01329741244,-0.05814674639
36_R4482,-0.08151565023,0.08151565023,-0.009842776385,0.04709227412
37_R4507,0.004757726583,-0.004757726583,-0.07514571858,0.08204335199
38_R4508,-0.02217332004,0.02217332004,0.02152293715,-0.02174788653
39_R4211,-0.05219293078,0.05219293078,0.0004356162177,-0.04467412491
40_R4087,-0.1186434328,0.1186434328,-0.008656697946,0.01674107791
41_R4071,0.002074207366,-0.002074207366,0.02485268,-0.008664892985
42_R4085,0.09233663093,-0.09233663093,-0.06168696029,0.02114130796
43_R4119,0.0009470065816,-0.0009470065816,-0.04243569737,0.02887738153
45_R4662,-0.06619772713,0.06619772713,0.06879865931,-0.001233244284
46_R4530,-0.05694835179,0.05694835179,0.01338727784,-0.03354375391
47_R4487,-0.1198956375,0.1198956375,0.02954419451,-0.004341986532
48_R4509,-0.02051910286,0.02051910286,-0.09257599639,0.02329908683
49_R4169,0.002049136703,-0.002049136703,0.01624219566,-0.07341685033
50_R4659,0.05809802882,-0.05809802882,0.1317962392,-0.001898871805
51_R4500,0.008818804849,-0.008818804849,-0.01950480369,0.02649549188
52_R4235,0.03044462385,-0.03044462385,0.08226487208,0.02136412294
53_R4678,-0.08736995316,0.08736995316,0.03559391745,0.006810093616
54_R4610,-0.1007552095,0.1007552095,0.1354985289,-0.06686260711
55_R4538,-0.06363302877,0.06363302877,-0.002884112135,0.09533485927
56_R4519,0.02963844016,-0.02963844016,-0.06352015652,0.07363191267
57_R4661,0.03271258392,-0.03271258392,0.003491055621,-0.001442203493
58_R4544,-0.032380865,0.032380865,-0.06241771092,0.1011303859
59_R4524,0.03909878852,-0.03909878852,-0.03292767621,0.05133000303
60_R4132,-0.05155046581,0.05155046581,0.01612310033,0.003889007061
61_R4447,-0.04756574094,0.04756574094,-0.02940620812,0.02759441714
62_R4268,0.0105573476,-0.0105573476,0.0429703977,0.0008789497258
63_R4255,-0.1124144001,0.1124144001,-0.02942036137,-0.01450989071
64_R4258,-0.09918663472,0.09918663472,0.09382968409,0.02899212114
65_R4497,0.03906289677,-0.03906289677,-0.02404837285,0.06048096891
