,unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,counter
17,118,1,R3262,R1,NT,NT,1,None,1.4,1.0,Stimuli/nB_N_triangle_square.png,None,511.438899,513.857418,5.162373
18,119,1,R3262,R1,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,513.865579,516.442591,7.747546
19,120,1,R3262,R1,TT,TT,1,right,1.6,2.4,Stimuli/nB_T_TRIANGLE.png,right,516.450706,518.068501,9.373456
20,121,1,R3262,R1,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_triangle.png,None,520.486874,523.255666,0.0
21,122,1,R3262,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,523.263781,525.932539,2.676873
22,123,1,R3262,R1,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_CIRCLE.png,right,525.940635,527.258226,4.00256
23,124,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_triangle_square.png,None,529.526485,532.253586,0.0
24,125,1,R3262,R1,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_circle_square.png,None,532.26161,534.830353,2.576767
25,126,1,R3262,R1,NT,NT,1,None,1.65,0.85,Stimuli/nB_N_triangle_square.png,None,534.83849,537.35705,5.103464
26,127,1,R3262,R1,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,537.365227,539.033007,6.779421
27,128,1,R3262,R1,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_triangle_circle.png,None,541.551523,544.120128,0.0
28,151,1,R3262,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_triangle.png,None,0.0,2.676867,0.0
29,152,1,R3262,R2,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_triangle_circle.png,None,2.685423,4.928776,2.251909
30,153,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_square_circle.png,None,4.936999,7.564064,4.887197
31,167,1,R3262,R2,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_square_triangle.png,None,74.018328,76.294616,0.0
32,168,1,R3262,R2,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_triangle.png,None,76.303203,78.98864,2.694024
33,182,1,R3262,R2,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_triangle_circle.png,None,145.676441,148.503206,0.0
34,183,1,R3262,R2,NT,NT,1,None,1.45,1.15,Stimuli/nB_N_triangle_circle.png,None,148.511717,151.130395,2.627189
35,184,1,R3262,R2,NT,NT,1,None,1.5,0.9,Stimuli/nB_N_triangle_square.png,None,151.13848,153.557052,5.053846
36,185,1,R3262,R2,TT,TT,1,right,1.6,2.4,Stimuli/nB_T_SQUARE.png,right,153.565231,155.191372,6.688166
37,186,1,R3262,R2,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_triangle_circle.png,None,157.609691,160.178318,0.0
38,187,1,R3262,R2,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_triangle_square.png,None,160.186384,162.763511,2.585193
39,188,1,R3262,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_triangle.png,None,162.771626,165.398637,5.220319
40,189,1,R3262,R2,TT,TT,1,left,1.45,2.3,Stimuli/nB_T_CIRCLE.png,left,165.406741,166.882744,6.704426
41,190,1,R3262,R2,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_triangle_circle.png,None,169.201068,171.569539,0.0
42,191,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_triangle_square.png,None,171.577713,174.19635,2.626811
43,192,1,R3262,R2,NT,NT,1,None,1.55,0.9,Stimuli/nB_N_circle_triangle.png,None,174.20456,176.68146,5.111921
44,193,1,R3262,R2,TT,TT,1,right,1.55,2.3,Stimuli/nB_T_TRIANGLE.png,right,176.689621,178.25737,6.687831
45,194,1,R3262,R2,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_square_circle.png,None,180.575651,183.302769,0.0
46,195,1,R3262,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_square_circle.png,None,183.310837,185.679277,2.376508
47,196,1,R3262,R2,TT,TT,1,right,1.4,2.35,Stimuli/nB_T_CIRCLE.png,right,185.687508,187.12186,3.819091
48,197,1,R3262,R2,NT,NT,1,None,1.65,1.05,Stimuli/nB_N_square_circle.png,None,189.490196,192.20883,0.0
49,198,1,R3262,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_triangle_square.png,None,192.217035,194.585512,2.376682
50,199,1,R3262,R2,TT,TT,1,left,1.35,2.35,Stimuli/nB_T_TRIANGLE.png,left,194.593697,195.978019,3.769189
51,200,1,R3262,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,198.346323,200.864928,0.0
52,201,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_circle_triangle.png,None,200.873062,203.491699,2.626771
53,367,1,R3262,R3,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_square_triangle.png,None,272.748109,275.574833,0.0
54,368,1,R3262,R3,NT,NT,1,None,1.6,0.8,Stimuli/nB_N_square_triangle.png,None,275.583274,278.010155,2.435322
55,382,1,R3262,R3,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_triangle_circle.png,None,344.297765,346.874297,0.0
56,383,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,346.882878,349.701748,2.827451
57,397,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,415.997551,418.824319,0.0
58,398,1,R3262,R3,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_circle_triangle.png,None,418.832782,421.40154,2.577221
59,412,1,R3262,R3,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_square_triangle.png,None,487.897475,490.374043,0.0
60,413,1,R3262,R3,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,490.382516,493.001206,2.627163
61,414,1,R3262,R3,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_square.png,None,493.009315,495.67811,5.304067
62,415,1,R3262,R3,TT,TT,1,left,1.45,2.5,Stimuli/nB_T_TRIANGLE.png,left,495.6862,497.16224,6.788197
63,416,1,R3262,R3,NT,NT,1,None,1.65,1.0,Stimuli/nB_N_circle_triangle.png,None,499.680662,502.357732,0.0
64,417,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_triangle_square.png,None,502.365871,505.184754,2.827022
65,418,1,R3262,R3,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_triangle.png,None,505.192826,507.869734,5.512002
66,419,1,R3262,R3,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,507.878004,509.504154,7.146422
67,420,1,R3262,R3,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_circle.png,None,511.672338,514.290962,0.0
68,421,1,R3262,R3,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,514.299121,516.867804,2.576842
69,422,1,R3262,R3,TT,TT,1,right,1.4,2.5,Stimuli/nB_T_TRIANGLE.png,right,516.875936,518.293595,4.002633
70,423,1,R3262,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,520.812002,523.480747,0.0
71,424,1,R3262,R3,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,523.488886,525.807269,2.326522
72,425,1,R3262,R3,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_circle_triangle.png,None,525.81546,528.142333,4.661586
73,426,1,R3262,R3,TT,TT,1,right,1.35,2.5,Stimuli/nB_T_TRIANGLE.png,right,528.15041,529.526381,6.045634
74,427,1,R3262,R3,NT,NT,1,None,1.5,0.95,Stimuli/nB_N_circle_triangle.png,None,532.044781,534.513361,0.0
75,428,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_square_circle.png,None,534.521507,537.340372,2.827011
76,429,1,R3262,R3,TT,TT,1,right,1.4,2.25,Stimuli/nB_T_CIRCLE.png,right,537.348499,538.766139,4.252778
77,430,1,R3262,R3,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,541.034364,543.152686,0.0
78,453,1,R3262,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0.0,2.526878,0.0
79,454,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,2.535353,5.112464,2.585586
80,468,1,R3262,R4,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_square_triangle.png,None,71.608403,74.084908,0.0
81,469,1,R3262,R4,NT,NT,1,None,1.4,1.1,Stimuli/nB_N_square_triangle.png,None,74.093392,76.612123,2.527215
82,470,1,R3262,R4,TT,TT,1,right,1.65,2.35,Stimuli/nB_T_TRIANGLE.png,right,76.620219,78.296383,4.211475
83,471,1,R3262,R4,NT,NT,1,None,1.65,1.05,Stimuli/nB_N_circle_triangle.png,None,80.664718,83.3918,0.0
84,472,1,R3262,R4,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_triangle.png,None,83.39993,86.026931,2.635131
85,486,1,R3262,R4,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,152.514523,155.391417,0.0
86,487,1,R3262,R4,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_square_triangle.png,None,155.39995,157.876848,2.485431
87,501,1,R3262,R4,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_square_triangle.png,None,224.464597,227.0912,0.0
88,502,1,R3262,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_triangle_circle.png,None,227.099758,229.818523,2.727323
89,516,1,R3262,R4,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_triangle_circle.png,None,296.514557,299.241378,0.0
90,517,1,R3262,R4,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,299.249849,301.376489,2.135111
91,518,1,R3262,R4,NT,NT,1,None,1.3,0.85,Stimuli/nB_N_square_circle.png,None,301.384672,303.552984,4.311606
92,519,1,R3262,R4,TT,TT,1,left,1.5,2.2,Stimuli/nB_T_SQUARE.png,left,303.561161,305.078874,5.837496
