unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset
201,1,R3262,R2,NT,NT,1,None,1.6,1,Stimuli/nB_N_circle_triangle.png,None,200.873062,203.491699
367,1,R3262,R3,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_square_triangle.png,None,272.748109,275.574833
368,1,R3262,R3,NT,NT,1,None,1.6,0.8,Stimuli/nB_N_square_triangle.png,None,275.583274,278.010155
382,1,R3262,R3,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_triangle_circle.png,None,344.297765,346.874297
383,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,346.882878,349.701748
397,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,415.997551,418.824319
398,1,R3262,R3,NT,NT,1,None,1.55,1,Stimuli/nB_N_circle_triangle.png,None,418.832782,421.40154
412,1,R3262,R3,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_square_triangle.png,None,487.897475,490.374043
413,1,R3262,R3,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,490.382516,493.001206
414,1,R3262,R3,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_square.png,None,493.009315,495.67811
415,1,R3262,R3,TT,TT,1,left,1.45,2.5,Stimuli/nB_T_TRIANGLE.png,left,495.6862,497.16224
416,1,R3262,R3,NT,NT,1,None,1.65,1,Stimuli/nB_N_circle_triangle.png,None,499.680662,502.357732
417,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_triangle_square.png,None,502.365871,505.184754
418,1,R3262,R3,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_triangle.png,None,505.192826,507.869734
419,1,R3262,R3,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,507.878004,509.504154
420,1,R3262,R3,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_circle.png,None,511.672338,514.290962
421,1,R3262,R3,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,514.299121,516.867804
422,1,R3262,R3,TT,TT,1,right,1.4,2.5,Stimuli/nB_T_TRIANGLE.png,right,516.875936,518.293595
423,1,R3262,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,520.812002,523.480747
424,1,R3262,R3,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,523.488886,525.807269
425,1,R3262,R3,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_circle_triangle.png,None,525.81546,528.142333
426,1,R3262,R3,TT,TT,1,right,1.35,2.5,Stimuli/nB_T_TRIANGLE.png,right,528.15041,529.526381
427,1,R3262,R3,NT,NT,1,None,1.5,0.95,Stimuli/nB_N_circle_triangle.png,None,532.044781,534.513361
428,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_square_circle.png,None,534.521507,537.340372
429,1,R3262,R3,TT,TT,1,right,1.4,2.25,Stimuli/nB_T_CIRCLE.png,right,537.348499,538.766139
430,1,R3262,R3,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,541.034364,543.152686
453,1,R3262,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0,2.526878
454,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,2.535353,5.112464
468,1,R3262,R4,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_square_triangle.png,None,71.608403,74.084908
469,1,R3262,R4,NT,NT,1,None,1.4,1.1,Stimuli/nB_N_square_triangle.png,None,74.093392,76.612123
470,1,R3262,R4,TT,TT,1,right,1.65,2.35,Stimuli/nB_T_TRIANGLE.png,right,76.620219,78.296383
471,1,R3262,R4,NT,NT,1,None,1.65,1.05,Stimuli/nB_N_circle_triangle.png,None,80.664718,83.3918
472,1,R3262,R4,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_triangle.png,None,83.39993,86.026931
486,1,R3262,R4,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,152.514523,155.391417
487,1,R3262,R4,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_square_triangle.png,None,155.39995,157.876848
501,1,R3262,R4,NT,NT,1,None,1.6,1,Stimuli/nB_N_square_triangle.png,None,224.464597,227.0912
502,1,R3262,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_triangle_circle.png,None,227.099758,229.818523
516,1,R3262,R4,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_triangle_circle.png,None,296.514557,299.241378
517,1,R3262,R4,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,299.249849,301.376489
518,1,R3262,R4,NT,NT,1,None,1.3,0.85,Stimuli/nB_N_square_circle.png,None,301.384672,303.552984
519,1,R3262,R4,TT,TT,1,left,1.5,2.2,Stimuli/nB_T_SQUARE.png,left,303.561161,305.078874
520,1,R3262,R4,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,307.2971,310.132641
521,1,R3262,R4,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_triangle_circle.png,None,310.140749,312.409179
522,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,312.417318,314.994381
536,1,R3262,R4,NT,NT,1,None,1.4,1,Stimuli/nB_N_triangle_square.png,None,381.632105,384.05854
604,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,0,2.58527400000001
605,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,2.593667,5.462663
606,2,R3678,R1,TT,TT,1,right,1.6,2.35,Stimuli/nB_T_CIRCLE.png,right,5.470795,7.088523
607,2,R3678,R1,NT,NT,1,None,1.35,0.85,Stimuli/nB_N_triangle_square.png,None,9.456816,11.683632
608,2,R3678,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_square.png,None,11.691756,14.518941
609,2,R3678,R1,TT,TT,1,right,1.35,2.2,Stimuli/nB_T_SQUARE.png,right,14.527006,15.894627
610,2,R3678,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,18.11283,20.781635
611,2,R3678,R1,NT,NT,1,None,1.45,0.95,Stimuli/nB_N_triangle_circle.png,None,20.789374,23.20812
625,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_circle_square.png,None,89.654118,92.530937
626,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_circle.png,None,92.539428,95.108189
627,2,R3678,R1,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_circle_square.png,None,95.11623,97.734538
628,2,R3678,R1,TT,TT,1,right,1.5,2.45,Stimuli/nB_T_SQUARE.png,right,97.74302,99.260765
629,2,R3678,R1,NT,NT,1,None,1.6,0.95,Stimuli/nB_N_circle_triangle.png,None,101.729082,104.306092
630,2,R3678,R1,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_triangle_square.png,None,104.314234,107.191503
644,2,R3678,R1,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,173.536918,176.163749
645,2,R3678,R1,NT,NT,1,None,1.45,0.9,Stimuli/nB_N_triangle_circle.png,None,176.17234,178.540827
646,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_circle.png,None,178.548991,180.9675
647,2,R3678,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_square.png,None,180.975669,183.394188
648,2,R3678,R1,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,183.40235,185.070198
649,2,R3678,R1,NT,NT,1,None,1.4,1.2,Stimuli/nB_N_triangle_circle.png,None,187.588568,190.215685
650,2,R3678,R1,NT,NT,1,None,1.3,1.05,Stimuli/nB_N_circle_triangle.png,None,190.223756,192.592248
664,2,R3678,R1,NT,NT,1,None,1.35,1.05,Stimuli/nB_N_circle_triangle.png,None,258.879634,261.306119
821,2,R3678,R2,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_circle_triangle.png,None,274.73222,277.458872
822,2,R3678,R2,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_square.png,None,277.467384,280.236206
823,2,R3678,R2,TT,TT,1,left,1.3,2.5,Stimuli/nB_T_CIRCLE.png,left,280.24437,281.561925
824,2,R3678,R2,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_square_triangle.png,None,284.080362,287.007541
825,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_square.png,None,287.015697,289.634411
826,2,R3678,R2,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,289.642454,291.310299
827,2,R3678,R2,NT,NT,1,None,1.35,1.15,Stimuli/nB_N_circle_triangle.png,None,293.828772,296.355759
828,2,R3678,R2,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_circle_triangle.png,None,296.363871,299.03263
829,2,R3678,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,299.040717,301.567626
843,2,R3678,R2,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_triangle_circle.png,None,368.255249,370.881904
844,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_square.png,None,370.890426,373.55913
845,2,R3678,R2,TT,TT,1,left,1.65,2.3,Stimuli/nB_T_CIRCLE.png,left,373.567221,375.243449
846,2,R3678,R2,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_square_triangle.png,None,377.561752,379.78011
847,2,R3678,R2,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_triangle_circle.png,None,379.788241,382.365252
848,2,R3678,R2,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_TRIANGLE.png,left,382.373371,383.999487
849,2,R3678,R2,NT,NT,1,None,1.35,0.8,Stimuli/nB_N_square_triangle.png,None,386.16756,388.335964
850,2,R3678,R2,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,388.344164,390.670812
851,2,R3678,R2,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_triangle_square.png,None,390.679103,393.147691
852,2,R3678,R2,TT,TT,1,right,1.4,2.35,Stimuli/nB_T_SQUARE.png,right,393.155853,394.573502
853,2,R3678,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_triangle.png,None,396.941791,399.618789
854,2,R3678,R2,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_circle_triangle.png,None,399.626707,402.09516
868,2,R3678,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_circle_square.png,None,468.633126,471.009451
869,2,R3678,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_square_circle.png,None,471.018061,473.636741
883,2,R3678,R2,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_triangle.png,None,540.23267,543.05941
906,2,R3678,R3,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0,2.52681099999999
907,2,R3678,R3,NT,NT,1,None,1.5,1,Stimuli/nB_N_triangle_circle.png,None,2.53513099999999,5.053983
908,2,R3678,R3,TT,TT,1,right,1.65,2.3,Stimuli/nB_T_CIRCLE.png,right,5.06217899999999,6.72991999999999
909,2,R3678,R3,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,9.04823399999999,11.716943
910,2,R3678,R3,NT,NT,1,None,1.65,1,Stimuli/nB_N_circle_square.png,None,11.725022,14.393809
924,2,R3678,R3,NT,NT,1,None,1.55,1.05,Stimuli/nB_N_circle_square.png,None,80.739577,83.366179
925,2,R3678,R3,NT,NT,1,None,1.7,1,Stimuli/nB_N_square_circle.png,None,83.374706,86.101854
926,2,R3678,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,86.109914,88.937138
