unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
199,1,R3262,R2,TT,TT,1,left,1.35,2.35,Stimuli/nB_T_TRIANGLE.png,left,194.593697,195.978019,True
200,1,R3262,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,198.346323,200.864928,True
201,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_circle_triangle.png,None,200.873062,203.491699,True
367,1,R3262,R3,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_square_triangle.png,None,272.748109,275.574833,True
368,1,R3262,R3,NT,NT,1,None,1.6,0.8,Stimuli/nB_N_square_triangle.png,None,275.583274,278.010155,True
382,1,R3262,R3,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_triangle_circle.png,None,344.297765,346.874297,True
383,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,346.882878,349.701748,True
397,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,415.997551,418.824319,True
398,1,R3262,R3,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_circle_triangle.png,None,418.832782,421.40154,True
412,1,R3262,R3,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_square_triangle.png,None,487.897475,490.374043,True
413,1,R3262,R3,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,490.382516,493.001206,True
414,1,R3262,R3,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_square.png,None,493.009315,495.67811,True
415,1,R3262,R3,TT,TT,1,left,1.45,2.5,Stimuli/nB_T_TRIANGLE.png,left,495.6862,497.16224,True
416,1,R3262,R3,NT,NT,1,None,1.65,1.0,Stimuli/nB_N_circle_triangle.png,None,499.680662,502.357732,True
417,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_triangle_square.png,None,502.365871,505.184754,True
418,1,R3262,R3,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_triangle.png,None,505.192826,507.869734,True
419,1,R3262,R3,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,507.878004,509.504154,True
420,1,R3262,R3,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_circle.png,None,511.672338,514.290962,True
421,1,R3262,R3,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,514.299121,516.867804,True
422,1,R3262,R3,TT,TT,1,right,1.4,2.5,Stimuli/nB_T_TRIANGLE.png,right,516.875936,518.293595,True
423,1,R3262,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,520.812002,523.480747,True
424,1,R3262,R3,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,523.488886,525.807269,True
425,1,R3262,R3,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_circle_triangle.png,None,525.81546,528.142333,True
426,1,R3262,R3,TT,TT,1,right,1.35,2.5,Stimuli/nB_T_TRIANGLE.png,right,528.15041,529.526381,True
427,1,R3262,R3,NT,NT,1,None,1.5,0.95,Stimuli/nB_N_circle_triangle.png,None,532.044781,534.513361,True
428,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_square_circle.png,None,534.521507,537.340372,True
429,1,R3262,R3,TT,TT,1,right,1.4,2.25,Stimuli/nB_T_CIRCLE.png,right,537.348499,538.766139,True
430,1,R3262,R3,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,541.034364,543.152686,True
453,1,R3262,R4,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_triangle_square.png,None,0.0,2.526878,True
454,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_triangle_square.png,None,2.535353,5.112464,True
468,1,R3262,R4,NT,NT,1,None,1.4,1.05,Stimuli/nB_N_square_triangle.png,None,71.608403,74.084908,True
469,1,R3262,R4,NT,NT,1,None,1.4,1.1,Stimuli/nB_N_square_triangle.png,None,74.093392,76.612123,True
470,1,R3262,R4,TT,TT,1,right,1.65,2.35,Stimuli/nB_T_TRIANGLE.png,right,76.620219,78.296383,True
471,1,R3262,R4,NT,NT,1,None,1.65,1.05,Stimuli/nB_N_circle_triangle.png,None,80.664718,83.3918,True
472,1,R3262,R4,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_triangle.png,None,83.39993,86.026931,True
486,1,R3262,R4,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,152.514523,155.391417,True
487,1,R3262,R4,NT,NT,1,None,1.35,1.1,Stimuli/nB_N_square_triangle.png,None,155.39995,157.876848,True
501,1,R3262,R4,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_square_triangle.png,None,224.464597,227.0912,True
502,1,R3262,R4,NT,NT,1,None,1.6,1.1,Stimuli/nB_N_triangle_circle.png,None,227.099758,229.818523,True
516,1,R3262,R4,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_triangle_circle.png,None,296.514557,299.241378,True
517,1,R3262,R4,NT,NT,1,None,1.3,0.8,Stimuli/nB_N_square_circle.png,None,299.249849,301.376489,True
518,1,R3262,R4,NT,NT,1,None,1.3,0.85,Stimuli/nB_N_square_circle.png,None,301.384672,303.552984,True
519,1,R3262,R4,TT,TT,1,left,1.5,2.2,Stimuli/nB_T_SQUARE.png,left,303.561161,305.078874,True
520,1,R3262,R4,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,307.2971,310.132641,True
521,1,R3262,R4,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_triangle_circle.png,None,310.140749,312.409179,True
522,1,R3262,R4,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,312.417318,314.994381,True
536,1,R3262,R4,NT,NT,1,None,1.4,1.0,Stimuli/nB_N_triangle_square.png,None,381.632105,384.05854,True
604,2,R3678,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,0.0,2.585274,True
605,2,R3678,R1,NT,NT,1,None,1.7,1.15,Stimuli/nB_N_triangle_circle.png,None,2.593667,5.462663,True
606,2,R3678,R1,TT,TT,1,right,1.6,2.35,Stimuli/nB_T_CIRCLE.png,right,5.470795,7.088523,True
607,2,R3678,R1,NT,NT,1,None,1.35,0.85,Stimuli/nB_N_triangle_square.png,None,9.456816,11.683632,True
608,2,R3678,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_square.png,None,11.691756,14.518941,True
