unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
1886,4,R4052,R1,MWQ,Focus,1,4,325.242849,326.910654,-0.790848,5,320.910654,6,1,1.083,1.423,-1.138,-0.988
1965,4,R4052,R2,MWQ,Focus,1,4,5.412291,6.988265,-0.565654,1,0.988264999999998,6,1,1.083,1.423,-1.138,-0.988
1985,4,R4052,R2,MWQ,Focus,1,3,91.405368,92.722965,0.084269,2,86.722965,6,1,0.869,1.764,-0.997,-0.294
2001,4,R4052,R2,MWQ,Focus,1,3,165.223211,166.540769,0.001029,3,160.540769,6,1,0.394,1.075,-0.726,0.289
2172,4,R4052,R3,MWQ,Focus,1,2,224.406249,226.074059,-0.223987,3,220.074059,6,1,-1.553,2.034,-0.835,-0.648
2191,4,R4052,R3,MWQ,Focus,1,4,307.680644,309.098376,-0.09872,4,303.098376,6,1,0.713,2.392,-1.372,-1.928
2213,4,R4052,R3,MWQ,Focus,1,4,400.711989,402.079589,-0.107364,5,396.079589,6,1,-0.608,1.841,-1.086,-1.497
2228,4,R4052,R3,MWQ,Focus,1,4,472.303301,473.871083,-0.299093,6,467.871083,6,1,-0.277,2.427,-1.617,-1.629
2352,4,R4052,R4,MWQ,Focus,1,3,365.137011,366.654746,1.060129,5,360.654746,6,1,-1.215,1.998,-1.435,-0.278
2376,4,R4052,R4,MWQ,Focus,1,3,462.94682,464.61464,0.101224,6,458.61464,6,1,-1.231,1.724,-0.943,0.101
2471,5,R4167,R1,MWQ,Focus,1,3,215.557983,217.134386,0.201231,3,211.134386,6,1,-0.281,0.567,-0.54,1.15
2486,5,R4167,R1,MWQ,Focus,1,3,286.707677,288.233753,-0.157022,4,282.233753,6,1,-0.579,0.325,0.133,0.834
2505,5,R4167,R1,MWQ,Focus,1,3,370.824406,372.392175,-0.274073,5,366.392175,6,1,-0.559,0.245,0.108,1.129
2531,5,R4167,R1,MWQ,Focus,1,3,474.554774,476.172569,-0.424141,6,470.172569,6,1,-0.674,0.551,0.314,0.44
2626,5,R4167,R2,MWQ,Focus,1,4,228.492298,229.968322,-0.198999,3,223.968322,6,1,0.444,1.008,0.089,-0.256
2642,5,R4167,R2,MWQ,Focus,1,3,302.37689,304.103041,-0.356832,4,298.103041,6,1,0.089,0.446,0.369,-0.152
2662,5,R4167,R2,MWQ,Focus,1,3,388.736844,390.413033,-0.407479,5,384.413033,6,1,-0.009,0.469,0.032,-0.396
2679,5,R4167,R2,MWQ,Focus,1,2,466.507422,467.875117,0.301392,6,461.875117,6,1,-0.563,0.314,0.364,-0.156
2720,5,R4167,R3,MWQ,Focus,1,3,5.470719,7.096662,-0.132058,1,1.096662,6,1,-0.502,0.334,0.563,-0.389
2741,5,R4167,R3,MWQ,Focus,1,2,94.457567,95.983655,0.101085,2,89.983655,6,1,-1.313,0.437,0.125,-0.159
2757,5,R4167,R3,MWQ,Focus,1,2,168.392249,170.068439,-0.123602,3,164.068439,6,1,-0.732,-0.193,-0.66,0.043
2777,5,R4167,R3,MWQ,Focus,1,2,254.01002,255.335985,-0.190924,4,249.335985,6,1,-1.456,0.021,-0.899,-0.881
2871,5,R4167,R4,MWQ,Focus,1,2,4.920389,6.446209,0.034803,1,0.446209000000003,6,1,-0.533,0.006,-0.416,0.269
2889,5,R4167,R4,MWQ,Focus,1,2,85.526385,87.194219,-0.190659,2,81.194219,6,1,-1.161,0.528,-0.018,-0.083
2910,5,R4167,R4,MWQ,Focus,1,4,174.429796,176.097625,-0.140638,3,170.097625,6,1,0.098,0.855,0.523,0.347
3023,6,R4047,R1,MWQ,Focus,1,3,7.513841,8.93987299999999,2.561058,1,2.93987299999999,6,1,0.54,-0.444,-1.438,0.497
3040,6,R4047,R1,MWQ,Focus,1,3,84.058712,85.526393,0.459637,2,79.526393,6,1,0.671,-0.273,-1.555,0.277
3066,6,R4047,R1,MWQ,Focus,1,3,187.922501,189.240062,0.334604,3,183.240062,6,1,0.102,-0.391,-1.709,0.624
3081,6,R4047,R1,MWQ,Focus,1,3,259.272026,260.989795,-0.023741,4,254.989795,6,1,-0.117,0.043,-1.312,0.263
3226,6,R4047,R2,MWQ,Focus,1,3,215.999957,217.726168,0.301614,3,211.726168,6,1,-0.399,-0.899,-1.668,0.245
3244,6,R4047,R2,MWQ,Focus,1,3,296.764258,298.390383,-0.057116,4,292.390383,6,1,-0.299,-0.472,-1.712,1.252
3262,6,R4047,R2,MWQ,Focus,1,2,377.01989,378.437569,0.426302,5,372.437569,6,1,-0.377,-0.493,-1.273,0.938
3277,6,R4047,R2,MWQ,Focus,1,2,448.769747,450.345845,1.402013,6,444.345845,6,1,0.123,-1.286,-1.226,1.715
3515,6,R4047,R4,MWQ,Focus,1,3,150.054368,151.571989,0.351399,2,145.571989,6,1,0.417,-1.278,-1.382,0.596
3531,6,R4047,R4,MWQ,Focus,1,3,224.489351,226.157145,-0.015567,3,220.157145,6,1,0.083,-0.708,-1.601,0.932
3549,6,R4047,R4,MWQ,Focus,1,3,305.078526,306.496186,-0.0574,4,300.496186,6,1,0.339,-1.019,-1.457,-0.172
3566,6,R4047,R4,MWQ,Focus,1,2,382.031852,383.608038,0.2012,5,377.608038,6,1,0.24,-1.885,-1.338,-0.089
3581,6,R4047,R4,MWQ,Focus,1,3,453.731628,455.407802,0.051146,6,449.407802,6,1,-0.073,-1.646,-1.305,0.138
3677,7,R3884,R1,MWQ,Focus,1,3,210.796642,212.314367,2.144173,3,206.314367,6,1,0.582,1.929,-1.604,0.516
3704,7,R3884,R1,MWQ,Focus,1,3,317.537399,319.205214,0.618213,4,313.205214,6,1,0.453,0.917,-1.635,0.611
3723,7,R3884,R1,MWQ,Focus,1,3,400.286527,401.754208,0.017888,5,395.754208,6,1,0.566,1.566,-1.648,0.562
3739,7,R3884,R1,MWQ,Focus,1,3,474.162781,475.788958,0.835404,6,469.788958,6,1,0.453,0.917,-1.635,0.611
3777,7,R3884,R2,MWQ,Focus,1,3,5.36239800000001,6.98824,0.159845,1,0.988240000000005,6,1,0.453,0.917,-1.635,0.611
3798,7,R3884,R2,MWQ,Focus,1,3,95.383151,96.759184,1.193471,2,90.759184,6,1,-0.174,1.329,-1.949,-1.04
3818,7,R3884,R2,MWQ,Focus,1,3,180.642373,182.268516,0.059449,3,176.268516,6,1,0.398,1.367,-1.451,0.376
