unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
4702,R3946,5.312319,0.302,1.166,0.57,0.946
4721,R3946,2.535003,0.46,-0.046,0.679,-0.181
4736,R3946,2.527044,0.207,1.781,1.016,0.446
4837,R4053,5.320327,0.695,0.462,0.745,0.537
4856,R4053,2.526828,0.949,1.085,0.029,0.535
4992,R4053,5.053393,0.91,0.735,0.082,0.658
5007,R4053,2.285415,0.873,0.481,0.234,0.545
5022,R4053,2.927545,1.188,0.597,0.214,0.531
5204,R4053,2.576803,0.352,0.259,0.101,0.246
5223,R4053,4.903432,-0.12,0.036,0.261,1.148
5247,R4053,5.562213,-0.989,0.033,0.205,0.732
5360,R4053,5.212435,-1.034,-0.37,0.117,0.569
5378,R4053,2.726933,-0.338,-0.499,0.013,-0.06
5520,R3891,2.384884,-0.258,-1.165,-0.39,0.838
5535,R3891,2.377006,0.494,-0.708,0.661,-0.402
5589,R3891,5.162298,-0.631,-0.217,0.767,-0.79
5608,R3891,2.535185,-0.586,0.504,-1.185,-0.148
5631,R3891,2.676946,-1.276,-0.724,1.234,1.561
5802,R3891,2.735656,-1.144,-0.75,-0.199,1.283
5833,R3891,8.1391,-1.238,-1.131,-0.052,0.765
5852,R3891,2.526799,-0.989,-0.602,0.245,1.648
5894,R3891,2.376614,1.039,0.15,-0.275,-1.193
5915,R3891,2.935463,-0.052,-0.73,-0.425,-0.598
6118,R4140,2.434906,-0.352,-0.506,-0.667,0.971
6146,R4140,2.485099,-0.572,-0.465,-0.232,-0.689
6203,R4140,7.188245,-0.369,0.421,-0.172,0.584
6349,R4140,2.676943,-0.114,-2.265,0.383,-0.854
6365,R4140,5.154106,-1.802,-0.059,-1.145,-0.208
6545,R4140,7.780913,-0.735,-0.971,-0.106,-2.435
6562,R4140,7.547231,1.712,-1.722,0.613,-0.163
6580,R4140,2.485033,0.082,-2.33,0.241,-0.462
6597,R4140,8.20622,-0.437,0.257,0.178,-1.213
6703,R4302,5.111919,0.48,-0.334,-2.03,1.788
6723,R4302,2.392922,-0.788,-0.043,0.911,-0.82
6742,R4302,3.719688,-0.736,-0.521,0.741,0.49
6757,R4302,2.327049,-0.988,0.739,-0.723,-0.532
6871,R4302,2.77721,1.373,-1.214,-0.169,0.621
6903,R4302,2.83533,-0.08,-0.426,-0.09,0.845
6947,R4302,2.476972,-1.211,0.353,0.233,1.052
