unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
305,1,R3262,R3,NT,NT,0,None,1.4,1.2,Stimuli/0B_N_square_triangle.png,None,7.522257,10.141016,True
319,1,R3262,R3,NT,NT,0,None,1.7,0.85,Stimuli/0B_N_square_triangle.png,None,76.686871,79.263444,True
320,1,R3262,R3,NT,NT,0,None,1.45,1.15,Stimuli/0B_N_triangle_circle.png,None,79.272052,81.899092,True
321,1,R3262,R3,TT,TT,0,right,1.45,2.5,Stimuli/0B_T_R_triangle_square.png,right,81.907186,83.374855,True
322,1,R3262,R3,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_circle_square.png,None,85.89332,88.712172,True
323,1,R3262,R3,NT,NT,0,None,1.5,0.85,Stimuli/0B_N_circle_square.png,None,88.720301,91.097118,True
324,1,R3262,R3,NT,NT,0,None,1.35,1.15,Stimuli/0B_N_square_triangle.png,None,91.105292,93.623939,True
325,1,R3262,R3,TT,TT,0,left,1.6,2.25,Stimuli/0B_T_L_square_triangle.png,left,93.632042,95.258174,True
326,1,R3262,R3,NT,NT,0,None,1.65,1.1,Stimuli/0B_N_circle_square.png,None,97.526438,100.295202,True
327,1,R3262,R3,NT,NT,0,None,1.45,1.15,Stimuli/0B_N_triangle_square.png,None,100.303333,102.930331,True
328,1,R3262,R3,TT,TT,0,right,1.65,2.4,Stimuli/0B_T_R_square_circle.png,right,102.938507,104.606335,True
329,1,R3262,R3,NT,NT,0,None,1.6,1.05,Stimuli/0B_N_circle_square.png,None,107.0247,109.693374,True
330,1,R3262,R3,NT,NT,0,None,1.6,1,Stimuli/0B_N_circle_square.png,None,109.701536,112.320151,True
331,1,R3262,R3,TT,TT,0,right,1.3,2.2,Stimuli/0B_T_R_triangle_square.png,right,112.328369,113.645941,True
332,1,R3262,R3,NT,NT,0,None,1.4,1.15,Stimuli/0B_N_circle_square.png,None,115.864144,118.449516,True
333,1,R3262,R3,NT,NT,0,None,1.35,0.95,Stimuli/0B_N_triangle_square.png,None,118.457595,120.776052,True
334,1,R3262,R3,NT,NT,0,None,1.4,1.2,Stimuli/0B_N_triangle_circle.png,None,120.784206,123.402972,True
348,1,R3262,R3,NT,NT,0,None,1.6,0.95,Stimuli/0B_N_square_triangle.png,None,189.840524,192.417005,True
349,1,R3262,R3,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_square_triangle.png,None,192.425232,195.244087,True
350,1,R3262,R3,NT,NT,0,None,1.65,1.05,Stimuli/0B_N_triangle_square.png,None,195.252598,197.971375,True
364,1,R3262,R3,NT,NT,0,None,1.35,1.05,Stimuli/0B_N_circle_triangle.png,None,264.509038,266.935482,True
365,1,R3262,R3,NT,NT,0,None,1.4,0.95,Stimuli/0B_N_square_circle.png,None,266.943978,269.320836,True
538,1,R3262,R4,NT,NT,0,None,1.55,1.2,Stimuli/0B_N_circle_square.png,None,387.686224,390.471418,True
539,1,R3262,R4,NT,NT,0,None,1.45,1.2,Stimuli/0B_N_triangle_square.png,None,390.47989,393.148618,True
540,1,R3262,R4,TT,TT,0,right,1.45,2.3,Stimuli/0B_T_R_circle_triangle.png,right,393.156758,394.624449,True
541,1,R3262,R4,NT,NT,0,None,1.3,0.8,Stimuli/0B_N_triangle_circle.png,None,396.942717,399.060966,True
542,1,R3262,R4,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_triangle_circle.png,None,399.069151,401.896346,True
543,1,R3262,R4,NT,NT,0,None,1.4,1.2,Stimuli/0B_N_square_circle.png,None,401.904497,404.53159,True
557,1,R3262,R4,NT,NT,0,None,1.6,0.8,Stimuli/0B_N_triangle_square.png,None,470.869026,473.295359,True
558,1,R3262,R4,NT,NT,0,None,1.4,0.9,Stimuli/0B_N_square_circle.png,None,473.30369,475.630868,True
559,1,R3262,R4,NT,NT,0,None,1.5,1.2,Stimuli/0B_N_square_circle.png,None,475.639027,478.357816,True
560,1,R3262,R4,NT,NT,0,None,1.45,1.1,Stimuli/0B_N_square_circle.png,None,478.36589,480.934591,True
561,1,R3262,R4,TT,TT,0,left,1.55,2.15,Stimuli/0B_T_L_triangle_square.png,left,480.942647,482.510442,True
562,1,R3262,R4,NT,NT,0,None,1.65,1.05,Stimuli/0B_N_square_triangle.png,None,484.67865,487.397379,True
563,1,R3262,R4,NT,NT,0,None,1.35,0.95,Stimuli/0B_N_square_circle.png,None,487.405514,489.72398,True
564,1,R3262,R4,TT,TT,0,right,1.45,2.35,Stimuli/0B_T_R_triangle_circle.png,right,489.732084,491.208165,True
565,1,R3262,R4,NT,NT,0,None,1.55,1,Stimuli/0B_N_circle_square.png,None,493.576482,496.14509,True
566,1,R3262,R4,NT,NT,0,None,1.7,0.8,Stimuli/0B_N_circle_triangle.png,None,496.153239,498.680189,True
567,1,R3262,R4,TT,TT,0,left,1.7,2.1,Stimuli/0B_T_L_triangle_circle.png,left,498.68835,500.406143,True
568,1,R3262,R4,NT,NT,0,None,1.65,0.95,Stimuli/0B_N_triangle_circle.png,None,502.524317,505.142919,True
569,1,R3262,R4,NT,NT,0,None,1.55,1,Stimuli/0B_N_square_circle.png,None,505.151159,507.719848,True
