unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
348,1,R3262,R3,NT,NT,0,None,189.840524,192.417005,0,,,,
349,1,R3262,R3,NT,NT,0,None,192.425232,195.244087,2.827082,,,,
350,1,R3262,R3,NT,NT,0,None,195.252598,197.971375,5.55437,,,,
351,1,R3262,R3,MWQ,Focus,0,2,197.979507,199.54726,,-0.701,0.315,-0.496,0.806
364,1,R3262,R3,NT,NT,0,None,264.509038,266.935482,0,,,,
365,1,R3262,R3,NT,NT,0,None,266.943978,269.320836,2.385354,,,,
538,1,R3262,R4,NT,NT,0,None,387.686224,390.471418,0,,,,
539,1,R3262,R4,NT,NT,0,None,390.47989,393.148618,2.6772,,,,
540,1,R3262,R4,TT,TT,0,right,393.156758,394.624449,4.153031,,,,
541,1,R3262,R4,NT,NT,0,None,396.942717,399.060966,0,,,,
542,1,R3262,R4,NT,NT,0,None,399.069151,401.896346,2.83538,,,,
543,1,R3262,R4,NT,NT,0,None,401.904497,404.53159,5.470624,,,,
544,1,R3262,R4,MWQ,Focus,0,2,404.539665,405.907355,,-1.007,-0.071,0.19,0.678
557,1,R3262,R4,NT,NT,0,None,470.869026,473.295359,0,,,,
558,1,R3262,R4,NT,NT,0,None,473.30369,475.630868,2.335509,,,,
559,1,R3262,R4,NT,NT,0,None,475.639027,478.357816,5.062457,,,,
560,1,R3262,R4,NT,NT,0,None,478.36589,480.934591,7.639232,,,,
561,1,R3262,R4,TT,TT,0,left,480.942647,482.510442,9.215083,,,,
562,1,R3262,R4,NT,NT,0,None,484.67865,487.397379,0,,,,
563,1,R3262,R4,NT,NT,0,None,487.405514,489.72398,2.326601,,,,
564,1,R3262,R4,TT,TT,0,right,489.732084,491.208165,3.810786,,,,
565,1,R3262,R4,NT,NT,0,None,493.576482,496.14509,0,,,,
566,1,R3262,R4,NT,NT,0,None,496.153239,498.680189,2.535099,,,,
567,1,R3262,R4,TT,TT,0,left,498.68835,500.406143,4.261053,,,,
568,1,R3262,R4,NT,NT,0,None,502.524317,505.142919,0,,,,
569,1,R3262,R4,NT,NT,0,None,505.151159,507.719848,2.576929,,,,
570,1,R3262,R4,NT,NT,0,None,507.727972,510.296616,5.153697,,,,
571,1,R3262,R4,NT,NT,0,None,510.304745,512.981752,7.838833,,,,
572,1,R3262,R4,TT,TT,0,left,512.989928,514.407595,9.264676,,,,
573,1,R3262,R4,NT,NT,0,None,516.675865,519.302923,0,,,,
574,1,R3262,R4,NT,NT,0,None,519.311029,521.888004,2.585081,,,,
575,1,R3262,R4,TT,TT,0,left,521.896134,523.47223,4.169307,,,,
576,1,R3262,R4,NT,NT,0,None,525.790471,528.717806,0,,,,
577,1,R3262,R4,NT,NT,0,None,528.725887,531.394574,2.676768,,,,
578,1,R3262,R4,NT,NT,0,None,531.402706,534.029785,5.311979,,,,
579,1,R3262,R4,TT,TT,0,right,534.037877,535.764085,7.046279,,,,
580,1,R3262,R4,NT,NT,0,None,538.282434,540.701052,0,,,,
581,1,R3262,R4,NT,NT,0,None,540.709117,543.327877,2.626825,,,,
666,2,R3678,R1,NT,NT,0,None,264.783746,267.560438,0,,,,
