unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
422,1,R3262,R3,TT,TT,1,right,516.875936,518.293595,4.002633,,,,
423,1,R3262,R3,NT,NT,1,None,520.812002,523.480747,0,,,,
424,1,R3262,R3,NT,NT,1,None,523.488886,525.807269,2.326522,,,,
425,1,R3262,R3,NT,NT,1,None,525.81546,528.142333,4.661586,,,,
426,1,R3262,R3,TT,TT,1,right,528.15041,529.526381,6.045634,,,,
427,1,R3262,R3,NT,NT,1,None,532.044781,534.513361,0,,,,
428,1,R3262,R3,NT,NT,1,None,534.521507,537.340372,2.827011,,,,
429,1,R3262,R3,TT,TT,1,right,537.348499,538.766139,4.252778,,,,
430,1,R3262,R3,NT,NT,1,None,541.034364,543.152686,0,,,,
453,1,R3262,R4,NT,NT,1,None,0,2.526878,0,,,,
454,1,R3262,R4,NT,NT,1,None,2.535353,5.112464,2.585586,,,,
455,1,R3262,R4,MWQ,Focus,1,1,5.120577,6.646299,,-0.588,0.438,-0.015,0.978
468,1,R3262,R4,NT,NT,1,None,71.608403,74.084908,0,,,,
469,1,R3262,R4,NT,NT,1,None,74.093392,76.612123,2.527215,,,,
470,1,R3262,R4,TT,TT,1,right,76.620219,78.296383,4.211475,,,,
471,1,R3262,R4,NT,NT,1,None,80.664718,83.3918,0,,,,
472,1,R3262,R4,NT,NT,1,None,83.39993,86.026931,2.635131,,,,
473,1,R3262,R4,MWQ,Focus,1,2,86.035017,87.552806,,-0.835,0.099,0.147,0.91
486,1,R3262,R4,NT,NT,1,None,152.514523,155.391417,0,,,,
487,1,R3262,R4,NT,NT,1,None,155.39995,157.876848,2.485431,,,,
488,1,R3262,R4,MWQ,Focus,1,2,157.884971,159.502717,,-0.847,0.163,0.118,0.755
501,1,R3262,R4,NT,NT,1,None,224.464597,227.0912,0,,,,
502,1,R3262,R4,NT,NT,1,None,227.099758,229.818523,2.727323,,,,
503,1,R3262,R4,MWQ,Focus,1,1,229.826577,231.552847,,-0.872,1.225,0.951,-0.02
516,1,R3262,R4,NT,NT,1,None,296.514557,299.241378,0,,,,
517,1,R3262,R4,NT,NT,1,None,299.249849,301.376489,2.135111,,,,
518,1,R3262,R4,NT,NT,1,None,301.384672,303.552984,4.311606,,,,
519,1,R3262,R4,TT,TT,1,left,303.561161,305.078874,5.837496,,,,
520,1,R3262,R4,NT,NT,1,None,307.2971,310.132641,0,,,,
521,1,R3262,R4,NT,NT,1,None,310.140749,312.409179,2.276538,,,,
